block,key1,key2,key3,value,note
B5_a50,RGBiso,global_max,dm0_mag,1.68967,B1; scenario_cell chain
B5_a50,RGBiso,global_max,floor_mag,none,qpls_radius_scan_floors.csv
B5_a50,RGBiso,global_max,A_50_exact_mag,none,
B5_a50,RGBiso,global_max,A_50_interp_mag,none,qpls_statistic_v3.csv
B5_a50,RGBiso,global_max,delta_mag,n/a,|exact - interpolated|
B5_a50,RGBiso,blind_harmonic_sum,dm0_mag,1.68967,B1; scenario_cell chain
B5_a50,RGBiso,blind_harmonic_sum,floor_mag,none,qpls_radius_scan_floors.csv
B5_a50,RGBiso,blind_harmonic_sum,A_50_exact_mag,none,
B5_a50,RGBiso,blind_harmonic_sum,A_50_interp_mag,none,qpls_statistic_v3.csv
B5_a50,RGBiso,blind_harmonic_sum,delta_mag,n/a,|exact - interpolated|
B5_a50,AGB170,global_max,dm0_mag,1.74534,B1; scenario_cell chain
B5_a50,AGB170,global_max,floor_mag,none,qpls_radius_scan_floors.csv
B5_a50,AGB170,global_max,A_50_exact_mag,none,
B5_a50,AGB170,global_max,A_50_interp_mag,none,qpls_radius_scan.csv
B5_a50,AGB170,global_max,delta_mag,n/a,|exact - interpolated|
B5_a50,AGB170,blind_harmonic_sum,dm0_mag,1.74534,B1; scenario_cell chain
B5_a50,AGB170,blind_harmonic_sum,floor_mag,none,qpls_radius_scan_floors.csv
B5_a50,AGB170,blind_harmonic_sum,A_50_exact_mag,none,
B5_a50,AGB170,blind_harmonic_sum,A_50_interp_mag,none,qpls_radius_scan.csv
B5_a50,AGB170,blind_harmonic_sum,delta_mag,n/a,|exact - interpolated|
B5_a50,AGB215,global_max,dm0_mag,1.89124,B1; scenario_cell chain
B5_a50,AGB215,global_max,floor_mag,0.203117,qpls_radius_scan_floors.csv
B5_a50,AGB215,global_max,A_50_exact_mag,3.39893,"outside elliptical range, margin x16.9947"
B5_a50,AGB215,global_max,A_50_interp_mag,3.39789,qpls_radius_scan.csv
B5_a50,AGB215,global_max,delta_mag,0.00104157,|exact - interpolated|
B5_a50,AGB215,blind_harmonic_sum,dm0_mag,1.89124,B1; scenario_cell chain
B5_a50,AGB215,blind_harmonic_sum,floor_mag,0.307602,qpls_radius_scan_floors.csv
B5_a50,AGB215,blind_harmonic_sum,A_50_exact_mag,2.89404,"outside elliptical range, margin x14.4702"
B5_a50,AGB215,blind_harmonic_sum,A_50_interp_mag,2.89404,qpls_radius_scan.csv
B5_a50,AGB215,blind_harmonic_sum,delta_mag,0,|exact - interpolated|
B5_a50,AGB260,global_max,dm0_mag,2.00218,B1; scenario_cell chain
B5_a50,AGB260,global_max,floor_mag,0.117309,qpls_radius_scan_floors.csv
B5_a50,AGB260,global_max,A_50_exact_mag,4.17204,"outside elliptical range, margin x20.8602"
B5_a50,AGB260,global_max,A_50_interp_mag,4.17146,qpls_radius_scan.csv
B5_a50,AGB260,global_max,delta_mag,0.000578552,|exact - interpolated|
B5_a50,AGB260,blind_harmonic_sum,dm0_mag,2.00218,B1; scenario_cell chain
B5_a50,AGB260,blind_harmonic_sum,floor_mag,0.269032,qpls_radius_scan_floors.csv
B5_a50,AGB260,blind_harmonic_sum,A_50_exact_mag,3.19275,"outside elliptical range, margin x15.9638"
B5_a50,AGB260,blind_harmonic_sum,A_50_interp_mag,3.1898,qpls_radius_scan.csv
B5_a50,AGB260,blind_harmonic_sum,delta_mag,0.0029504,|exact - interpolated|
B5_a50,AGBiso,global_max,dm0_mag,2.14536,B1; scenario_cell chain
B5_a50,AGBiso,global_max,floor_mag,0.096628,qpls_radius_scan_floors.csv
B5_a50,AGBiso,global_max,A_50_exact_mag,4.56122,"outside elliptical range, margin x22.8061"
B5_a50,AGBiso,global_max,A_50_interp_mag,4.55991,qpls_statistic_v3.csv
B5_a50,AGBiso,global_max,delta_mag,0.00130296,|exact - interpolated|
B5_a50,AGBiso,blind_harmonic_sum,dm0_mag,2.14536,B1; scenario_cell chain
B5_a50,AGBiso,blind_harmonic_sum,floor_mag,0.218584,qpls_radius_scan_floors.csv
B5_a50,AGBiso,blind_harmonic_sum,A_50_exact_mag,3.61248,"outside elliptical range, margin x18.0624"
B5_a50,AGBiso,blind_harmonic_sum,A_50_interp_mag,3.61,qpls_statistic_v3.csv
B5_a50,AGBiso,blind_harmonic_sum,delta_mag,0.00247382,|exact - interpolated|
B5_a50,BSG,global_max,dm0_mag,6.91839,B1; scenario_cell chain
B5_a50,BSG,global_max,floor_mag,none,qpls_statistic_v3_floors.csv
B5_a50,BSG,global_max,A_50_exact_mag,none,
B5_a50,BSG,global_max,A_50_interp_mag,none,qpls_statistic_v3.csv
B5_a50,BSG,global_max,delta_mag,n/a,|exact - interpolated|
B5_a50,BSG,blind_harmonic_sum,dm0_mag,6.91839,B1; scenario_cell chain
B5_a50,BSG,blind_harmonic_sum,floor_mag,none,qpls_statistic_v3_floors.csv
