host,host_label,statistic,detector,D_L_Gpc,DM,A_V,L_min_Lsun,N_zone,N_zone_f_burst,f_burst,r_E_pc,column_Msun_per_pc2
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,global_max,0.1,35.0,0.0,2.21353,29.7809,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,global_max,0.2,36.51,0.0,24.4257,4.36414,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,global_max,0.35,37.72,0.0,143.893,0.629892,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,global_max,0.5,38.49,0.0,515.143,0.165957,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,global_max,0.7,39.23,0.0,1838.93,0.0229586,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,global_max,0.85,39.65,0.0,3853.86,0.000272863,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,global_max,1.0,40.0,0.0,6470.72,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,global_max,2.0,41.51,0.0,25992.8,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,global_max,2.9,42.31,0.0,54316.7,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,0.1,35.0,0.0,7.04226,7.37668,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,0.2,36.51,0.0,57.7684,1.31447,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,0.35,37.72,0.0,434.67,0.201628,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,0.5,38.49,0.0,1606.21,0.0308003,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,0.7,39.23,0.0,5668.11,9.14843e-06,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,0.85,39.65,0.0,8579.92,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,1.0,40.0,0.0,11844.5,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,2.0,41.51,0.0,47579.4,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v1-frozen,blind_harmonic_sum,2.9,42.31,0.0,99425.9,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,global_max,0.1,35.0,0.0,3638.23,0.000327261,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,global_max,0.2,36.51,0.0,3638.23,0.000327261,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,global_max,0.35,37.72,0.0,3638.23,0.000327261,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,global_max,0.5,38.49,0.0,3787.87,0.000293143,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,global_max,0.7,39.23,0.0,4880.03,5.07467e-05,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,global_max,0.85,39.65,0.0,6545.67,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,global_max,1.0,40.0,0.0,9036.27,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,global_max,2.0,41.51,0.0,36298.6,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,global_max,2.9,42.31,0.0,75852.5,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,0.1,35.0,0.0,3638.23,0.000327261,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,0.2,36.51,0.0,3638.23,0.000327261,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,0.35,37.72,0.0,3638.23,0.000327261,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,0.5,38.49,0.0,5603.21,9.14843e-06,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,0.7,39.23,0.0,10647.7,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,0.85,39.65,0.0,15705.4,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,1.0,40.0,0.0,21681.2,0,,,1.95686,230.773
old_metalpoor,"old, [Fe/H]=-0.25 (10 Gyr)",v3-physical,blind_harmonic_sum,2.0,41.51,0.0,87093.4,0,,,1.95686,230.773
