statistic,detector,floor_mag,D_L_Gpc,DM,A_V,m_nuc,M_total_Msun,L_min_Lsun,R_at_Lmin_Rsun,Sigma_detectable_per_pc2,r_E_pc,einstein_area_pc2,N_zone,column_Msun_per_pc2
v1-frozen,global_max,0.07,0.1,35.0,0.0,19.0,20000000000.0,2.21088,1.54208,2.47553,1.95686,12.0301,29.7809,230.773
v1-frozen,global_max,0.07,0.2,36.51,0.0,19.0,20000000000.0,24.3587,7.458,0.362767,1.95686,12.0301,4.36414,230.773
v1-frozen,global_max,0.07,0.35,37.72,0.0,19.0,20000000000.0,143.489,20.8828,0.0523595,1.95686,12.0301,0.629892,230.773
v1-frozen,global_max,0.07,0.5,38.49,0.0,19.0,20000000000.0,514.963,50.7721,0.0137951,1.95686,12.0301,0.165957,230.773
v1-frozen,global_max,0.07,0.7,39.23,0.0,19.0,20000000000.0,1846.51,130.216,0.00190842,1.95686,12.0301,0.0229586,230.773
v1-frozen,global_max,0.07,0.85,39.65,0.0,19.0,20000000000.0,3852.75,221.943,2.26816e-05,1.95686,12.0301,0.000272863,230.773
v1-frozen,global_max,0.07,1.0,40.0,0.0,19.0,20000000000.0,6459.84,300.744,0,1.95686,12.0301,0,230.773
v1-frozen,global_max,0.07,2.0,41.51,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,2.9,42.31,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,0.1,35.0,0.5,19.0,20000000000.0,5.61013,3.21733,0.687924,1.95686,12.0301,8.27582,230.773
v1-frozen,global_max,0.07,0.2,36.51,0.5,19.0,20000000000.0,48.4836,10.6471,0.262599,1.95686,12.0301,3.1591,230.773
v1-frozen,global_max,0.07,0.35,37.72,0.5,19.0,20000000000.0,327.649,36.9447,0.0218824,1.95686,12.0301,0.263249,230.773
v1-frozen,global_max,0.07,0.5,38.49,0.5,19.0,20000000000.0,1211.81,94.1652,0.00492962,1.95686,12.0301,0.059304,230.773
v1-frozen,global_max,0.07,0.7,39.23,0.5,19.0,20000000000.0,4342.41,238.037,1.16312e-05,1.95686,12.0301,0.000139925,230.773
v1-frozen,global_max,0.07,0.85,39.65,0.5,19.0,20000000000.0,7416.89,300.744,0,1.95686,12.0301,0,230.773
v1-frozen,global_max,0.07,1.0,40.0,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,2.0,41.51,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,2.9,42.31,0.5,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,0.1,35.0,1.0,19.0,20000000000.0,11.5023,4.81061,0.484671,1.95686,12.0301,5.83066,230.773
v1-frozen,global_max,0.07,0.2,36.51,1.0,19.0,20000000000.0,101.669,16.4895,0.0654552,1.95686,12.0301,0.787436,230.773
v1-frozen,global_max,0.07,0.35,37.72,1.0,19.0,20000000000.0,762.152,67.1843,0.00943596,1.95686,12.0301,0.113516,230.773
v1-frozen,global_max,0.07,0.5,38.49,1.0,19.0,20000000000.0,2880.32,176.173,0.000151654,1.95686,12.0301,0.00182442,230.773
v1-frozen,global_max,0.07,0.7,39.23,1.0,19.0,20000000000.0,7984.02,300.744,0,1.95686,12.0301,0,230.773
v1-frozen,global_max,0.07,0.85,39.65,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,1.0,40.0,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,2.0,41.51,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,2.9,42.31,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,0.1,35.0,2.0,19.0,20000000000.0,48.3345,10.7495,0.262599,1.95686,12.0301,3.1591,230.773
v1-frozen,global_max,0.07,0.2,36.51,2.0,19.0,20000000000.0,536.443,52.5721,0.0136292,1.95686,12.0301,0.163961,230.773
v1-frozen,global_max,0.07,0.35,37.72,2.0,19.0,20000000000.0,4320.59,240.031,1.34463e-05,1.95686,12.0301,0.000161761,230.773
v1-frozen,global_max,0.07,0.5,38.49,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,0.7,39.23,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,0.85,39.65,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,1.0,40.0,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,2.0,41.51,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,global_max,0.07,2.9,42.31,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v1-frozen,blind_harmonic_sum,0.125,0.1,35.0,0.0,19.0,20000000000.0,7.02489,3.645,0.613183,1.95686,12.0301,7.37668,230.773
v1-frozen,blind_harmonic_sum,0.125,0.2,36.51,0.0,19.0,20000000000.0,57.6438,11.1237,0.109265,1.95686,12.0301,1.31447,230.773
v1-frozen,blind_harmonic_sum,0.125,0.35,37.72,0.0,19.0,20000000000.0,433.599,45.634,0.0167602,1.95686,12.0301,0.201628,230.773
v1-frozen,blind_harmonic_sum,0.125,0.5,38.49,0.0,19.0,20000000000.0,1599.93,116.075,0.00282281,1.95686,12.0301,0.0339588,230.773
