statistic,kind,source,R_Rsun,L_Lsun,t_mag_days,P_days,detector,A_mag,recovery_fraction,threshold,n_inj,seed
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,global_max,0.020000,0.0200,0.427687,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,global_max,0.031540,0.0150,0.427687,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,global_max,0.049737,0.0000,0.427687,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,global_max,0.078435,0.0150,0.427687,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,global_max,0.123690,0.0900,0.427687,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,global_max,0.195057,0.1050,0.427687,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,global_max,0.307602,0.2150,0.427687,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,global_max,0.485082,0.2700,0.427687,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,global_max,0.764965,0.2800,0.427687,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,global_max,1.206336,0.2850,0.427687,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,global_max,1.902369,0.3450,0.427687,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,global_max,3.000000,0.2550,0.427687,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,oracle_single_freq,0.020000,0.0650,0.146767,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,oracle_single_freq,0.031540,0.1950,0.146767,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,oracle_single_freq,0.049737,0.3850,0.146767,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,oracle_single_freq,0.078435,0.7300,0.146767,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,oracle_single_freq,0.123690,0.9250,0.146767,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,oracle_single_freq,0.195057,0.9900,0.146767,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,oracle_single_freq,0.307602,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,oracle_single_freq,0.485082,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,oracle_single_freq,0.764965,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,oracle_single_freq,1.206336,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,oracle_single_freq,1.902369,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,oracle_single_freq,3.000000,1.0000,0.146767,200,42
v3-physical,radius_scan,AGB170,170.1963493780872,2688.763996139983,10.1085,91.3125,blind_harmonic_sum,0.020000,0.0050,0.804701,200,42
