statistic,source,R_Rsun,L_Lsun,t_mag_hr,t_mag_days,P_days,detector,A_mag,recovery_fraction,binom_se,threshold,template,n_inj,seed
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,global_max,0.020000,0.0200,0.0099,0.427687,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,global_max,0.031540,0.0100,0.0070,0.427687,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,global_max,0.049737,0.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,global_max,0.078435,0.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,global_max,0.123690,0.0300,0.0121,0.427687,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,global_max,0.195057,0.0550,0.0161,0.427687,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,global_max,0.307602,0.0750,0.0186,0.427687,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,global_max,0.485082,0.1350,0.0242,0.427687,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,global_max,0.764965,0.0850,0.0197,0.427687,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,global_max,1.206336,0.0600,0.0168,0.427687,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,global_max,1.902369,0.1150,0.0226,0.427687,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,global_max,3.000000,0.0400,0.0139,0.427687,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,oracle_single_freq,0.020000,0.0450,0.0147,0.146767,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,oracle_single_freq,0.031540,0.1350,0.0242,0.146767,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,oracle_single_freq,0.049737,0.2750,0.0316,0.146767,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,oracle_single_freq,0.078435,0.5200,0.0353,0.146767,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,oracle_single_freq,0.123690,0.7250,0.0316,0.146767,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,oracle_single_freq,0.195057,0.8750,0.0234,0.146767,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,oracle_single_freq,0.307602,0.9500,0.0154,0.146767,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,oracle_single_freq,0.485082,0.9850,0.0086,0.146767,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,oracle_single_freq,0.764965,0.9950,0.0050,0.146767,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,oracle_single_freq,1.206336,0.9900,0.0070,0.146767,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,oracle_single_freq,1.902369,0.9800,0.0099,0.146767,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,oracle_single_freq,3.000000,0.9700,0.0121,0.146767,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,blind_harmonic_sum,0.020000,0.0050,0.0050,0.804701,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,blind_harmonic_sum,0.031540,0.0100,0.0070,0.804701,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,blind_harmonic_sum,0.049737,0.0150,0.0086,0.804701,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,blind_harmonic_sum,0.078435,0.0450,0.0147,0.804701,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,blind_harmonic_sum,0.123690,0.0700,0.0180,0.804701,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,blind_harmonic_sum,0.195057,0.1050,0.0217,0.804701,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,blind_harmonic_sum,0.307602,0.1450,0.0249,0.804701,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,blind_harmonic_sum,0.485082,0.1700,0.0266,0.804701,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,blind_harmonic_sum,0.764965,0.1500,0.0252,0.804701,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,blind_harmonic_sum,1.206336,0.1650,0.0262,0.804701,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,blind_harmonic_sum,1.902369,0.1800,0.0272,0.804701,sawtooth,200,42
v3-physical,RGBiso,137.5,2199.0,195.998,8.16657,91.3125,blind_harmonic_sum,3.000000,0.1600,0.0259,0.804701,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,global_max,0.020000,0.0150,0.0086,0.427687,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,global_max,0.031540,0.0050,0.0050,0.427687,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,global_max,0.049737,0.0350,0.0130,0.427687,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,global_max,0.078435,0.2550,0.0308,0.427687,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,global_max,0.123690,0.7900,0.0288,0.427687,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,global_max,0.195057,0.9350,0.0174,0.427687,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,global_max,0.307602,0.9650,0.0130,0.427687,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,global_max,0.485082,0.9800,0.0099,0.427687,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,global_max,0.764965,1.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,global_max,1.206336,1.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,global_max,1.902369,1.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,global_max,3.000000,1.0000,0.0000,0.427687,sawtooth,200,42
v3-physical,AGBiso,300.744,6027.09,428.692,17.8622,91.3125,oracle_single_freq,0.020000,0.2350,0.0300,0.146767,sawtooth,200,42
