L_Lsun,N_gt_L_per_1e6Msun,R_of_L_Rsun,n_eff_per_pc2,column_Msun_per_pc2
1,30909,1.54208,7.13297,230.773
1.04737,29642.7,1.54208,6.84074,230.773
1.09699,27814.3,1.54208,6.4188,230.773
1.14895,26633.3,1.54208,6.14624,230.773
1.20338,25483,1.54208,5.8808,230.773
1.26038,23796.2,1.54208,5.49152,230.773
1.32009,22699.8,1.54208,5.23851,230.773
1.38262,21143.7,1.54208,4.87941,230.773
1.44812,20189.2,1.54208,4.65913,230.773
1.51672,18819.7,1.54208,4.34309,230.773
1.58857,17538.2,1.54208,4.04735,230.773
1.66382,16727.1,1.54208,3.86018,230.773
1.74263,15575.6,1.54208,3.59442,230.773
1.82518,14503.9,1.54208,3.34711,230.773
1.91164,13511.3,1.54208,3.11804,230.773
2.0022,12596.4,1.54208,2.90692,230.773
2.09705,11747.7,1.54208,2.71105,230.773
2.19639,10969,1.54208,2.53136,230.773
2.30043,10051.5,1.54208,2.31963,230.773
2.4094,9268.03,1.54208,2.13881,230.773
2.52354,8617.79,1.55728,1.98875,230.773
2.64308,7703.85,1.62796,1.77784,230.773
2.76829,6672.39,1.73133,1.53981,230.773
2.89942,4960.51,2.07361,1.14475,230.773
3.03677,4491.43,2.19261,1.0365,230.773
3.18063,4340.2,2.28332,1.0016,230.773
3.33129,4195.7,2.36339,0.968255,230.773
3.4891,4058.86,2.43929,0.936676,230.773
3.65438,3928.4,2.51317,0.906569,230.773
3.82749,3804.19,2.58634,0.877904,230.773
4.00881,3686.02,2.65921,0.850633,230.773
4.19871,3572.54,2.73224,0.824447,230.773
4.3976,3463.83,2.8063,0.79936,230.773
4.60592,3359.85,2.88117,0.775362,230.773
4.82411,3259.38,2.95746,0.752177,230.773
5.05263,3163.24,3.03521,0.729992,230.773
5.29198,3162.85,3.11459,0.729901,230.773
5.54266,3070.02,3.19581,0.708478,230.773
5.80523,2980.95,3.2789,0.687924,230.773
6.08022,2894.87,3.36406,0.668057,230.773
6.36825,2812.21,3.45162,0.648982,230.773
6.66992,2733.3,3.54145,0.630773,230.773
6.98588,2657.08,3.63374,0.613183,230.773
7.31681,2584.01,3.72858,0.596321,230.773
7.66341,2584.01,3.82604,0.596321,230.773
8.02643,2513.98,3.92617,0.580159,230.773
8.40665,2447.03,4.02912,0.564709,230.773
8.80488,2382.81,4.13518,0.549889,230.773
9.22198,2321.1,4.24417,0.535647,230.773
9.65883,2262.33,4.35647,0.522085,230.773
10.1164,2205.91,4.47208,0.509066,230.773
10.5956,2152.22,4.59089,0.496675,230.773
11.0975,2151.95,4.71329,0.496611,230.773
11.6232,2100.21,4.83949,0.484671,230.773
12.1738,2051.1,4.96951,0.47334,230.773
12.7505,2003.71,5.10346,0.462402,230.773
13.3545,1958.57,5.24118,0.451985,230.773
13.9871,1915.51,5.38298,0.442047,230.773
14.6497,1874.06,5.52918,0.432483,230.773
15.3437,1834.71,5.6799,0.423402,230.773
16.0705,1834.49,5.83515,0.423352,230.773
16.8318,1796.53,5.99498,0.414592,230.773
17.6291,1760.39,6.1597,0.40625,230.773
18.4642,1725.65,6.32971,0.398234,230.773
19.3389,1692.45,6.50442,0.390572,230.773
20.255,1660.44,6.68431,0.383185,230.773
21.2145,1629.72,6.86998,0.376095,230.773
22.2195,1600.31,7.06103,0.369308,230.773
23.272,1571.96,7.25796,0.362767,230.773
24.3744,1571.96,7.46087,0.362767,230.773
25.5291,1544.57,7.66984,0.356446,230.773
26.7384,1518.19,7.88539,0.350358,230.773
28.005,1492.73,8.10773,0.344482,230.773
29.3317,1467.91,8.33648,0.338754,230.773
30.7211,1443.68,8.57247,0.333162,230.773
32.1764,1419.43,8.81554,0.327567,230.773
33.7006,1394.57,9.06577,0.32183,230.773
35.2971,1362.07,9.28968,0.314329,230.773
36.9691,1230.03,9.55552,0.283857,230.773
38.7204,1209.78,9.82315,0.279184,230.773
40.5546,1190.4,10.106,0.274712,230.773
42.4757,1172.09,10.3983,0.270486,230.773
44.4878,1154.75,10.7,0.266486,230.773
46.5953,1137.91,11.0113,0.262599,230.773
48.8025,1137.91,10.4323,0.262599,230.773
51.1143,912.852,10.5321,0.210662,230.773
53.5357,562.302,10.6404,0.129764,230.773
56.0717,511.543,10.911,0.118051,230.773
58.7279,465.734,12.6222,0.107479,230.773
61.5099,439.477,11.9759,0.10142,230.773
64.4236,408.429,12.0565,0.0942545,230.773
67.4754,383.021,12.4119,0.0883911,230.773
70.6718,363.821,12.8189,0.0839602,230.773
74.0196,360.402,13.2381,0.0831712,230.773
77.526,347.135,13.6704,0.0801094,230.773
81.1984,335.623,14.3576,0.0774529,230.773
85.0449,324.143,15.6265,0.0748035,230.773
89.0735,312.771,16.4556,0.0721793,230.773
93.293,302.303,15.9417,0.0697635,230.773
97.7124,292.774,16.0449,0.0675643,230.773
102.341,283.634,16.5645,0.0654552,230.773
107.189,275.099,17.2413,0.0634855,230.773
112.267,266.854,17.655,0.0615827,230.773
117.585,266.759,18.2245,0.0615607,230.773
123.155,258.901,18.8126,0.0597474,230.773
128.989,251.301,19.4201,0.0579936,230.773
135.099,244.068,20.7144,0.0563243,230.773
141.499,233.062,21.9614,0.0537845,230.773
148.202,212.77,22.0361,0.0491016,230.773
155.223,200.07,22.0364,0.0461709,230.773
162.576,188.491,22.7481,0.0434987,230.773
170.277,177.557,23.4791,0.0409754,230.773
178.343,168.705,24.3761,0.0389326,230.773
186.791,167.152,25.0217,0.0385741,230.773
195.64,159.027,25.8341,0.0366991,230.773
204.907,151.363,27.1375,0.0349304,230.773
214.614,144.121,28.5615,0.0332592,230.773
224.781,138.325,29.8998,0.0319217,230.773
235.429,131.755,29.3589,0.0304055,230.773
246.581,125.508,31.7567,0.0289639,230.773
258.262,120.472,31.7463,0.0278017,230.773
270.496,114.752,32.7607,0.0264816,230.773
283.31,109.27,33.3794,0.0252165,230.773
296.73,104.014,34.4725,0.0240036,230.773
310.787,103.238,35.6032,0.0238246,230.773
325.509,98.2098,36.7768,0.0226642,230.773
340.929,93.3823,38.4102,0.0215501,230.773
357.079,88.7459,40.2068,0.0204802,230.773
373.994,84.9414,41.9816,0.0196022,230.773
391.71,80.6428,41.8697,0.0186102,230.773
410.266,76.5314,45.2649,0.0176614,230.773
429.7,72.6264,46.28,0.0167602,230.773
450.056,69.4249,47.2122,0.0160214,230.773
471.375,65.9003,47.9226,0.015208,230.773
493.705,62.5778,49.2814,0.0144413,230.773
517.092,59.4126,50.9205,0.0137108,230.773
541.587,56.73,52.6226,0.0130918,230.773
567.243,56.061,54.4262,0.0129374,230.773
594.113,53.2068,56.1979,0.0122787,230.773
622.257,50.7538,58.0848,0.0117126,230.773
651.734,48.131,60.0405,0.0111074,230.773
682.607,45.6185,62.6353,0.0105275,230.773
714.943,43.204,65.6321,0.00997031,230.773
748.81,41.1054,68.3441,0.00948603,230.773
784.282,38.8534,69.9121,0.00896632,230.773
821.434,36.6754,72.7156,0.00846369,230.773
860.346,34.767,73.3672,0.00802329,230.773
901.102,32.7164,75.7576,0.00755006,230.773
943.788,30.7016,78.3018,0.00708512,230.773
988.496,28.9537,81.4643,0.00668173,230.773
1035.32,26.8875,84.2521,0.00620491,230.773
1084.37,25.1726,87.022,0.00580917,230.773
1135.73,24.8759,90.9124,0.00574069,230.773
1189.53,23.0447,94.9054,0.00531809,230.773
1245.88,21.003,96.0671,0.00484694,230.773
1304.9,19.2506,99.2251,0.00444251,230.773
1366.72,17.5501,104.751,0.0040501,230.773
1431.46,15.9097,106.599,0.00367154,230.773
1499.27,13.9195,110.942,0.00321225,230.773
1570.29,12.2648,115.319,0.00283039,230.773
1644.68,10.917,117.568,0.00251936,230.773
1722.59,9.67835,122.305,0.0022335,230.773
1804.19,8.36365,126.655,0.00193011,230.773
1889.65,6.97151,129.912,0.00160884,230.773
1979.17,5.71192,135.439,0.00131816,230.773
2072.92,4.3363,140.438,0.0010007,230.773
2171.12,3.18416,145.051,0.000734818,230.773
2273.97,1.95357,148.966,0.000450831,230.773
2381.69,1.73602,156.884,0.000400627,230.773
2494.51,1.47954,160.918,0.000341439,230.773
2612.68,1.14835,165.727,0.000265007,230.773
2736.44,0.847261,171.661,0.000195525,230.773
2866.07,0.716864,180.62,0.000165433,230.773
3001.84,0.505655,186.03,0.000116692,230.773
3144.04,0.173216,191.148,3.99736e-05,230.773
3292.97,0.153454,198.074,3.54132e-05,230.773
3448.96,0.137113,204.686,3.16419e-05,230.773
3612.34,0.120286,213.068,2.77588e-05,230.773
3783.46,0.10559,219.855,2.43674e-05,230.773
3962.69,0.0821346,227.759,1.89545e-05,230.773
4150.4,0.0686214,238.815,1.5836e-05,230.773
4347.01,0.050401,240.008,1.16312e-05,230.773
4552.94,0.0357807,253.584,8.25722e-06,230.773
4768.61,0.0268743,266.484,6.20188e-06,230.773
4994.51,0.0100434,272.577,2.31775e-06,230.773
5231.1,0.00522166,274.68,1.20502e-06,230.773
5478.9,0.00430627,278.664,9.93771e-07,230.773
5738.44,0.00279022,288.867,6.43908e-07,230.773
6010.28,0,299.635,0,230.773
6294.99,0,300.744,0,230.773
6593.19,0,300.744,0,230.773
6905.51,0,300.744,0,230.773
7232.63,0,300.744,0,230.773
7575.25,0,300.744,0,230.773
7934.1,0,300.744,0,230.773
8309.94,0,300.744,0,230.773
8703.59,0,300.744,0,230.773
9115.89,0,300.744,0,230.773
9547.72,0,300.744,0,230.773
10000,0,300.744,0,230.773
