source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note
RGB,2000.0,100.0,100000000.0,0.0,19.0,0.5,38.49,1447.3149397000482,VALID,34.97742501084005,40069.99673184595,23.470376743312166,0.016287307757231657,0.017541254452906975,18.0071,global_max,0.427687,0.0000,0.0000,200,42,
RGB,2000.0,100.0,100000000.0,0.0,19.0,0.5,38.49,1447.3149397000482,VALID,34.97742501084005,40069.99673184595,23.470376743312166,0.016287307757231657,0.017541254452906975,18.0071,blind_harmonic_sum,0.804701,0.0000,0.0000,200,42,
RGB,2000.0,100.0,100000000.0,0.0,19.0,0.5,38.49,1447.3149397000482,VALID,34.97742501084005,40069.99673184595,23.470376743312166,0.016287307757231657,0.017541254452906975,18.0071,oracle_single_freq,0.093194,0.4250,0.0350,200,42,
RGB,2000.0,100.0,100000000.0,0.0,19.0,1.0,40.0,1447.3149397000482,VALID,36.48742501084005,40069.99673184595,24.980376743312164,0.004053678510670364,0.004392328979203653,18.0071,global_max,0.427687,0.0250,0.0110,200,42,
RGB,2000.0,100.0,100000000.0,0.0,19.0,1.0,40.0,1447.3149397000482,VALID,36.48742501084005,40069.99673184595,24.980376743312164,0.004053678510670364,0.004392328979203653,18.0071,blind_harmonic_sum,0.804701,0.0150,0.0086,200,42,
RGB,2000.0,100.0,100000000.0,0.0,19.0,1.0,40.0,1447.3149397000482,VALID,36.48742501084005,40069.99673184595,24.980376743312164,0.004053678510670364,0.004392328979203653,18.0071,oracle_single_freq,0.093194,0.0500,0.0154,200,42,
RGB,2000.0,100.0,100000000.0,0.0,19.0,2.0,41.51,1447.3149397000482,VALID,37.99742501084005,40069.99673184595,26.49037674331216,0.0010089027427246018,0.0010948500290798144,18.0071,global_max,0.427687,0.0100,0.0070,200,42,
RGB,2000.0,100.0,100000000.0,0.0,19.0,2.0,41.51,1447.3149397000482,VALID,37.99742501084005,40069.99673184595,26.49037674331216,0.0010089027427246018,0.0010948500290798144,18.0071,blind_harmonic_sum,0.804701,0.0000,0.0000,200,42,
RGB,2000.0,100.0,100000000.0,0.0,19.0,2.0,41.51,1447.3149397000482,VALID,37.99742501084005,40069.99673184595,26.49037674331216,0.0010089027427246018,0.0010948500290798144,18.0071,oracle_single_freq,0.093194,0.0200,0.0099,200,42,
RGB,2000.0,100.0,100000000.0,0.0,19.0,2.9,42.31,1447.3149397000482,VALID,38.79742501084005,40069.99673184595,27.290376743312166,0.00048289121289483685,0.0005241659254229563,18.0071,global_max,0.427687,0.0250,0.0110,200,42,
RGB,2000.0,100.0,100000000.0,0.0,19.0,2.9,42.31,1447.3149397000482,VALID,38.79742501084005,40069.99673184595,27.290376743312166,0.00048289121289483685,0.0005241659254229563,18.0071,blind_harmonic_sum,0.804701,0.0000,0.0000,200,42,
RGB,2000.0,100.0,100000000.0,0.0,19.0,2.9,42.31,1447.3149397000482,VALID,38.79742501084005,40069.99673184595,27.290376743312166,0.00048289121289483685,0.0005241659254229563,18.0071,oracle_single_freq,0.093194,0.0250,0.0110,200,42,
RGB,2000.0,100.0,100000000.0,0.5,19.0,0.5,38.49,1447.3149397000482,VALID,34.97742501084005,40069.99673184595,23.970376743312166,0.010276596451234535,0.011100731157084872,18.0071,global_max,0.427687,0.0100,0.0070,200,42,
RGB,2000.0,100.0,100000000.0,0.5,19.0,0.5,38.49,1447.3149397000482,VALID,34.97742501084005,40069.99673184595,23.970376743312166,0.010276596451234535,0.011100731157084872,18.0071,blind_harmonic_sum,0.804701,0.0050,0.0050,200,42,
RGB,2000.0,100.0,100000000.0,0.5,19.0,0.5,38.49,1447.3149397000482,VALID,34.97742501084005,40069.99673184595,23.970376743312166,0.010276596451234535,0.011100731157084872,18.0071,oracle_single_freq,0.093194,0.1500,0.0252,200,42,
RGB,2000.0,100.0,100000000.0,0.5,19.0,1.0,40.0,1447.3149397000482,VALID,36.48742501084005,40069.99673184595,25.480376743312164,0.0025576982284689965,0.0027734402658822896,18.0071,global_max,0.427687,0.0100,0.0070,200,42,
RGB,2000.0,100.0,100000000.0,0.5,19.0,1.0,40.0,1447.3149397000482,VALID,36.48742501084005,40069.99673184595,25.480376743312164,0.0025576982284689965,0.0027734402658822896,18.0071,blind_harmonic_sum,0.804701,0.0050,0.0050,200,42,
RGB,2000.0,100.0,100000000.0,0.5,19.0,1.0,40.0,1447.3149397000482,VALID,36.48742501084005,40069.99673184595,25.480376743312164,0.0025576982284689965,0.0027734402658822896,18.0071,oracle_single_freq,0.093194,0.0200,0.0099,200,42,
RGB,2000.0,100.0,100000000.0,0.5,19.0,2.0,41.51,1447.3149397000482,VALID,37.99742501084005,40069.99673184595,26.99037674331216,0.000636574595388298,0.0006909321936260909,18.0071,global_max,0.427687,0.0100,0.0070,200,42,
RGB,2000.0,100.0,100000000.0,0.5,19.0,2.0,41.51,1447.3149397000482,VALID,37.99742501084005,40069.99673184595,26.99037674331216,0.000636574595388298,0.0006909321936260909,18.0071,blind_harmonic_sum,0.804701,0.0050,0.0050,200,42,
RGB,2000.0,100.0,100000000.0,0.5,19.0,2.0,41.51,1447.3149397000482,VALID,37.99742501084005,40069.99673184595,26.99037674331216,0.000636574595388298,0.0006909321936260909,18.0071,oracle_single_freq,0.093194,0.0150,0.0086,200,42,
RGB,2000.0,100.0,100000000.0,0.5,19.0,2.9,42.31,1447.3149397000482,VALID,38.79742501084005,40069.99673184595,27.790376743312166,0.00030468375736094613,0.0003307558009668557,18.0071,global_max,0.427687,0.0250,0.0110,200,42,
RGB,2000.0,100.0,100000000.0,0.5,19.0,2.9,42.31,1447.3149397000482,VALID,38.79742501084005,40069.99673184595,27.790376743312166,0.00030468375736094613,0.0003307558009668557,18.0071,blind_harmonic_sum,0.804701,0.0150,0.0086,200,42,
RGB,2000.0,100.0,100000000.0,0.5,19.0,2.9,42.31,1447.3149397000482,VALID,38.79742501084005,40069.99673184595,27.790376743312166,0.00030468375736094613,0.0003307558009668557,18.0071,oracle_single_freq,0.093194,0.0350,0.0130,200,42,
RGB,2000.0,100.0,100000000.0,1.0,19.0,0.5,38.49,1447.3149397000482,VALID,34.97742501084005,40069.99673184595,24.470376743312166,0.0064840940071655235,0.007017289742007773,18.0071,global_max,0.427687,0.0250,0.0110,200,42,
RGB,2000.0,100.0,100000000.0,1.0,19.0,0.5,38.49,1447.3149397000482,VALID,34.97742501084005,40069.99673184595,24.470376743312166,0.0064840940071655235,0.007017289742007773,18.0071,blind_harmonic_sum,0.804701,0.0100,0.0070,200,42,
RGB,2000.0,100.0,100000000.0,1.0,19.0,0.5,38.49,1447.3149397000482,VALID,34.97742501084005,40069.99673184595,24.470376743312166,0.0064840940071655235,0.007017289742007773,18.0071,oracle_single_freq,0.093194,0.0550,0.0161,200,42,
RGB,2000.0,100.0,100000000.0,1.0,19.0,1.0,40.0,1447.3149397000482,VALID,36.48742501084005,40069.99673184595,25.980376743312164,0.001613798482216492,0.0017507471424417559,18.0071,global_max,0.427687,0.0100,0.0070,200,42,
RGB,2000.0,100.0,100000000.0,1.0,19.0,1.0,40.0,1447.3149397000482,VALID,36.48742501084005,40069.99673184595,25.980376743312164,0.001613798482216492,0.0017507471424417559,18.0071,blind_harmonic_sum,0.804701,0.0100,0.0070,200,42,
RGB,2000.0,100.0,100000000.0,1.0,19.0,1.0,40.0,1447.3149397000482,VALID,36.48742501084005,40069.99673184595,25.980376743312164,0.001613798482216492,0.0017507471424417559,18.0071,oracle_single_freq,0.093194,0.0150,0.0086,200,42,
RGB,2000.0,100.0,100000000.0,1.0,19.0,2.0,41.51,1447.3149397000482,VALID,37.99742501084005,40069.99673184595,27.49037674331216,0.00040165141626975385,0.00043599993020190526,18.0071,global_max,0.427687,0.0050,0.0050,200,42,
RGB,2000.0,100.0,100000000.0,1.0,19.0,2.0,41.51,1447.3149397000482,VALID,37.99742501084005,40069.99673184595,27.49037674331216,0.00040165141626975385,0.00043599993020190526,18.0071,blind_harmonic_sum,0.804701,0.0050,0.0050,200,42,
RGB,2000.0,100.0,100000000.0,1.0,19.0,2.0,41.51,1447.3149397000482,VALID,37.99742501084005,40069.99673184595,27.49037674331216,0.00040165141626975385,0.00043599993020190526,18.0071,oracle_single_freq,0.093194,0.0400,0.0139,200,42,
RGB,2000.0,100.0,100000000.0,1.0,19.0,2.9,42.31,1447.3149397000482,VALID,38.79742501084005,40069.99673184595,28.290376743312166,0.00019224245445071002,0.000208704532595598,18.0071,global_max,0.427687,0.0150,0.0086,200,42,
RGB,2000.0,100.0,100000000.0,1.0,19.0,2.9,42.31,1447.3149397000482,VALID,38.79742501084005,40069.99673184595,28.290376743312166,0.00019224245445071002,0.000208704532595598,18.0071,blind_harmonic_sum,0.804701,0.0050,0.0050,200,42,
RGB,2000.0,100.0,100000000.0,1.0,19.0,2.9,42.31,1447.3149397000482,VALID,38.79742501084005,40069.99673184595,28.290376743312166,0.00019224245445071002,0.000208704532595598,18.0071,oracle_single_freq,0.093194,0.0200,0.0099,200,42,
RGB,2000.0,100.0,100000000.0,2.0,19.0,0.5,38.49,1447.3149397000482,VALID,34.97742501084005,40069.99673184595,25.470376743312166,0.0025813643187955525,0.002799069541750239,18.0071,global_max,0.427687,0.0150,0.0086,200,42,
RGB,2000.0,100.0,100000000.0,2.0,19.0,0.5,38.49,1447.3149397000482,VALID,34.97742501084005,40069.99673184595,25.470376743312166,0.0025813643187955525,0.002799069541750239,18.0071,blind_harmonic_sum,0.804701,0.0000,0.0000,200,42,
RGB,2000.0,100.0,100000000.0,2.0,19.0,0.5,38.49,1447.3149397000482,VALID,34.97742501084005,40069.99673184595,25.470376743312166,0.0025813643187955525,0.002799069541750239,18.0071,oracle_single_freq,0.093194,0.0300,0.0121,200,42,
RGB,2000.0,100.0,100000000.0,2.0,19.0,1.0,40.0,1447.3149397000482,VALID,36.48742501084005,40069.99673184595,26.980376743312164,0.0006424647475987361,0.0006973232579211592,18.0071,global_max,0.427687,0.0300,0.0121,200,42,
RGB,2000.0,100.0,100000000.0,2.0,19.0,1.0,40.0,1447.3149397000482,VALID,36.48742501084005,40069.99673184595,26.980376743312164,0.0006424647475987361,0.0006973232579211592,18.0071,blind_harmonic_sum,0.804701,0.0150,0.0086,200,42,
RGB,2000.0,100.0,100000000.0,2.0,19.0,1.0,40.0,1447.3149397000482,VALID,36.48742501084005,40069.99673184595,26.980376743312164,0.0006424647475987361,0.0006973232579211592,18.0071,oracle_single_freq,0.093194,0.0050,0.0050,200,42,
RGB,2000.0,100.0,100000000.0,2.0,19.0,2.0,41.51,1447.3149397000482,VALID,37.99742501084005,40069.99673184595,28.49037674331216,0.00015990030887995664,0.00017359567587167904,18.0071,global_max,0.427687,0.0000,0.0000,200,42,
RGB,2000.0,100.0,100000000.0,2.0,19.0,2.0,41.51,1447.3149397000482,VALID,37.99742501084005,40069.99673184595,28.49037674331216,0.00015990030887995664,0.00017359567587167904,18.0071,blind_harmonic_sum,0.804701,0.0100,0.0070,200,42,
RGB,2000.0,100.0,100000000.0,2.0,19.0,2.0,41.51,1447.3149397000482,VALID,37.99742501084005,40069.99673184595,28.49037674331216,0.00015990030887995664,0.00017359567587167904,18.0071,oracle_single_freq,0.093194,0.0200,0.0099,200,42,
RGB,2000.0,100.0,100000000.0,2.0,19.0,2.9,42.31,1447.3149397000482,VALID,38.79742501084005,40069.99673184595,29.290376743312166,7.653309960163175e-05,8.30915775123182e-05,18.0071,global_max,0.427687,0.0200,0.0099,200,42,
RGB,2000.0,100.0,100000000.0,2.0,19.0,2.9,42.31,1447.3149397000482,VALID,38.79742501084005,40069.99673184595,29.290376743312166,7.653309960163175e-05,8.30915775123182e-05,18.0071,blind_harmonic_sum,0.804701,0.0000,0.0000,200,42,
RGB,2000.0,100.0,100000000.0,2.0,19.0,2.9,42.31,1447.3149397000482,VALID,38.79742501084005,40069.99673184595,29.290376743312166,7.653309960163175e-05,8.30915775123182e-05,18.0071,oracle_single_freq,0.093194,0.0250,0.0110,200,42,
RGB,2000.0,100.0,1000000000.0,0.0,19.0,0.5,38.49,2124.36780851021,VALID,34.97742501084005,110361.93514151666,22.370376743312164,0.04485897052506985,0.04764418914149211,18.0071,global_max,0.427687,0.2000,0.0283,200,42,
RGB,2000.0,100.0,1000000000.0,0.0,19.0,0.5,38.49,2124.36780851021,VALID,34.97742501084005,110361.93514151666,22.370376743312164,0.04485897052506985,0.04764418914149211,18.0071,blind_harmonic_sum,0.804701,0.0800,0.0192,200,42,
RGB,2000.0,100.0,1000000000.0,0.0,19.0,0.5,38.49,2124.36780851021,VALID,34.97742501084005,110361.93514151666,22.370376743312164,0.04485897052506985,0.04764418914149211,18.0071,oracle_single_freq,0.093194,0.9900,0.0070,200,42,
RGB,2000.0,100.0,1000000000.0,0.0,19.0,1.0,40.0,2124.36780851021,VALID,36.48742501084005,110361.93514151666,23.880376743312162,0.011164757708193437,0.012054811662474376,18.0071,global_max,0.427687,0.0250,0.0110,200,42,
RGB,2000.0,100.0,1000000000.0,0.0,19.0,1.0,40.0,2124.36780851021,VALID,36.48742501084005,110361.93514151666,23.880376743312162,0.011164757708193437,0.012054811662474376,18.0071,blind_harmonic_sum,0.804701,0.0000,0.0000,200,42,
RGB,2000.0,100.0,1000000000.0,0.0,19.0,1.0,40.0,2124.36780851021,VALID,36.48742501084005,110361.93514151666,23.880376743312162,0.011164757708193437,0.012054811662474376,18.0071,oracle_single_freq,0.093194,0.2300,0.0298,200,42,
RGB,2000.0,100.0,1000000000.0,0.0,19.0,2.0,41.51,2124.36780851021,VALID,37.99742501084005,110361.93514151666,25.39037674331216,0.002778748892888702,0.003012804299546586,18.0071,global_max,0.427687,0.0050,0.0050,200,42,
RGB,2000.0,100.0,1000000000.0,0.0,19.0,2.0,41.51,2124.36780851021,VALID,37.99742501084005,110361.93514151666,25.39037674331216,0.002778748892888702,0.003012804299546586,18.0071,blind_harmonic_sum,0.804701,0.0100,0.0070,200,42,
RGB,2000.0,100.0,1000000000.0,0.0,19.0,2.0,41.51,2124.36780851021,VALID,37.99742501084005,110361.93514151666,25.39037674331216,0.002778748892888702,0.003012804299546586,18.0071,oracle_single_freq,0.093194,0.0400,0.0139,200,42,
RGB,2000.0,100.0,1000000000.0,0.0,19.0,2.9,42.31,2124.36780851021,VALID,38.79742501084005,110361.93514151666,26.190376743312164,0.0013299928391447436,0.001443061959068306,18.0071,global_max,0.427687,0.0150,0.0086,200,42,
RGB,2000.0,100.0,1000000000.0,0.0,19.0,2.9,42.31,2124.36780851021,VALID,38.79742501084005,110361.93514151666,26.190376743312164,0.0013299928391447436,0.001443061959068306,18.0071,blind_harmonic_sum,0.804701,0.0100,0.0070,200,42,
RGB,2000.0,100.0,1000000000.0,0.0,19.0,2.9,42.31,2124.36780851021,VALID,38.79742501084005,110361.93514151666,26.190376743312164,0.0013299928391447436,0.001443061959068306,18.0071,oracle_single_freq,0.093194,0.0150,0.0086,200,42,
RGB,2000.0,100.0,1000000000.0,0.5,19.0,0.5,38.49,2124.36780851021,VALID,34.97742501084005,110361.93514151666,22.870376743312164,0.028304096918613336,0.030303915256693435,18.0071,global_max,0.427687,0.0150,0.0086,200,42,
RGB,2000.0,100.0,1000000000.0,0.5,19.0,0.5,38.49,2124.36780851021,VALID,34.97742501084005,110361.93514151666,22.870376743312164,0.028304096918613336,0.030303915256693435,18.0071,blind_harmonic_sum,0.804701,0.0050,0.0050,200,42,
RGB,2000.0,100.0,1000000000.0,0.5,19.0,0.5,38.49,2124.36780851021,VALID,34.97742501084005,110361.93514151666,22.870376743312164,0.028304096918613336,0.030303915256693435,18.0071,oracle_single_freq,0.093194,0.8250,0.0269,200,42,
RGB,2000.0,100.0,1000000000.0,0.5,19.0,1.0,40.0,2124.36780851021,VALID,36.48742501084005,110361.93514151666,24.380376743312162,0.007044485875326504,0.007621639500837014,18.0071,global_max,0.427687,0.0150,0.0086,200,42,
RGB,2000.0,100.0,1000000000.0,0.5,19.0,1.0,40.0,2124.36780851021,VALID,36.48742501084005,110361.93514151666,24.380376743312162,0.007044485875326504,0.007621639500837014,18.0071,blind_harmonic_sum,0.804701,0.0200,0.0099,200,42,
RGB,2000.0,100.0,1000000000.0,0.5,19.0,1.0,40.0,2124.36780851021,VALID,36.48742501084005,110361.93514151666,24.380376743312162,0.007044485875326504,0.007621639500837014,18.0071,oracle_single_freq,0.093194,0.0800,0.0192,200,42,
RGB,2000.0,100.0,1000000000.0,0.5,19.0,2.0,41.51,2124.36780851021,VALID,37.99742501084005,110361.93514151666,25.89037674331216,0.0017532720224343317,0.001901924103163969,18.0071,global_max,0.427687,0.0150,0.0086,200,42,
RGB,2000.0,100.0,1000000000.0,0.5,19.0,2.0,41.51,2124.36780851021,VALID,37.99742501084005,110361.93514151666,25.89037674331216,0.0017532720224343317,0.001901924103163969,18.0071,blind_harmonic_sum,0.804701,0.0000,0.0000,200,42,
RGB,2000.0,100.0,1000000000.0,0.5,19.0,2.0,41.51,2124.36780851021,VALID,37.99742501084005,110361.93514151666,25.89037674331216,0.0017532720224343317,0.001901924103163969,18.0071,oracle_single_freq,0.093194,0.0100,0.0070,200,42,
RGB,2000.0,100.0,1000000000.0,0.5,19.0,2.9,42.31,2124.36780851021,VALID,38.79742501084005,110361.93514151666,26.690376743312164,0.0008391687499644399,0.0009107338174812774,18.0071,global_max,0.427687,0.0400,0.0139,200,42,
RGB,2000.0,100.0,1000000000.0,0.5,19.0,2.9,42.31,2124.36780851021,VALID,38.79742501084005,110361.93514151666,26.690376743312164,0.0008391687499644399,0.0009107338174812774,18.0071,blind_harmonic_sum,0.804701,0.0150,0.0086,200,42,
RGB,2000.0,100.0,1000000000.0,0.5,19.0,2.9,42.31,2124.36780851021,VALID,38.79742501084005,110361.93514151666,26.690376743312164,0.0008391687499644399,0.0009107338174812774,18.0071,oracle_single_freq,0.093194,0.0500,0.0154,200,42,
RGB,2000.0,100.0,1000000000.0,1.0,19.0,0.5,38.49,2124.36780851021,VALID,34.97742501084005,110361.93514151666,23.370376743312164,0.01785867782967829,0.01921870900158556,18.0071,global_max,0.427687,0.0100,0.0070,200,42,
RGB,2000.0,100.0,1000000000.0,1.0,19.0,0.5,38.49,2124.36780851021,VALID,34.97742501084005,110361.93514151666,23.370376743312164,0.01785867782967829,0.01921870900158556,18.0071,blind_harmonic_sum,0.804701,0.0050,0.0050,200,42,
RGB,2000.0,100.0,1000000000.0,1.0,19.0,0.5,38.49,2124.36780851021,VALID,34.97742501084005,110361.93514151666,23.370376743312164,0.01785867782967829,0.01921870900158556,18.0071,oracle_single_freq,0.093194,0.5400,0.0352,200,42,
RGB,2000.0,100.0,1000000000.0,1.0,19.0,1.0,40.0,2124.36780851021,VALID,36.48742501084005,110361.93514151666,24.880376743312162,0.004444770101124238,0.004815154602785585,18.0071,global_max,0.427687,0.0100,0.0070,200,42,
RGB,2000.0,100.0,1000000000.0,1.0,19.0,1.0,40.0,2124.36780851021,VALID,36.48742501084005,110361.93514151666,24.880376743312162,0.004444770101124238,0.004815154602785585,18.0071,blind_harmonic_sum,0.804701,0.0150,0.0086,200,42,
RGB,2000.0,100.0,1000000000.0,1.0,19.0,1.0,40.0,2124.36780851021,VALID,36.48742501084005,110361.93514151666,24.880376743312162,0.004444770101124238,0.004815154602785585,18.0071,oracle_single_freq,0.093194,0.0350,0.0130,200,42,
RGB,2000.0,100.0,1000000000.0,1.0,19.0,2.0,41.51,2124.36780851021,VALID,37.99742501084005,110361.93514151666,26.39037674331216,0.0011062398594265843,0.0012004208122026374,18.0071,global_max,0.427687,0.0150,0.0086,200,42,
RGB,2000.0,100.0,1000000000.0,1.0,19.0,2.0,41.51,2124.36780851021,VALID,37.99742501084005,110361.93514151666,26.39037674331216,0.0011062398594265843,0.0012004208122026374,18.0071,blind_harmonic_sum,0.804701,0.0050,0.0050,200,42,
