source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note,source_label
BSG,100000.0,20.0,20000000000.0,0.0,19.0,0.1,35.0,3500.0,VALID,27.240000000000002,1155083.3078066139,12.083466730304107,584.2696237567185,6.918389960647748,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,0.1,35.0,3500.0,VALID,27.240000000000002,1155083.3078066139,12.083466730304107,584.2696237567185,6.918389960647748,18.0071,blind_harmonic_sum,0.804701,0.8950,0.0217,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,0.1,35.0,3500.0,VALID,27.240000000000002,1155083.3078066139,12.083466730304107,584.2696237567185,6.918389960647748,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,0.2,36.51,3500.0,VALID,28.75,1155083.3078066139,13.593466730304105,145.41637289370107,5.413974110176843,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,0.2,36.51,3500.0,VALID,28.75,1155083.3078066139,13.593466730304105,145.41637289370107,5.413974110176843,18.0071,blind_harmonic_sum,0.804701,0.8650,0.0242,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,0.2,36.51,3500.0,VALID,28.75,1155083.3078066139,13.593466730304105,145.41637289370107,5.413974110176843,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,0.35,37.72,3500.0,VALID,29.96,1155083.3078066139,14.803466730304105,47.710427488005415,4.219054852510166,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,0.35,37.72,3500.0,VALID,29.96,1155083.3078066139,14.803466730304105,47.710427488005415,4.219054852510166,18.0071,blind_harmonic_sum,0.804701,0.8750,0.0234,200,42,,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,0.35,37.72,3500.0,VALID,29.96,1155083.3078066139,14.803466730304105,47.710427488005415,4.219054852510166,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,control: population-implausible in quiescent elliptical host
BSG,100000.0,20.0,20000000000.0,0.0,19.0,0.5,38.49,3500.0,VALID,30.730000000000004,1155083.3078066139,15.573466730304109,23.475416588361654,3.4718252313193965,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,control: population-implausible in quiescent elliptical host
