source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note,source_label
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.7,39.23,3500.0,VALID,35.717425010840046,412356.1774981991,21.67924374808178,0.08478177422025641,0.08835594964526315,18.0071,global_max,0.427687,0.7650,0.0300,200,42,,tip-RGB star
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.7,39.23,3500.0,VALID,35.717425010840046,412356.1774981991,21.67924374808178,0.08478177422025641,0.08835594964526315,18.0071,blind_harmonic_sum,0.804701,0.3450,0.0336,200,42,,tip-RGB star
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.7,39.23,3500.0,VALID,35.717425010840046,412356.1774981991,21.67924374808178,0.08478177422025641,0.08835594964526315,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,tip-RGB star
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.85,39.65,3500.0,VALID,36.13742501084005,412356.1774981991,22.099243748081783,0.057584089030128016,0.06078727096852004,18.0071,global_max,0.427687,0.4350,0.0351,200,42,,tip-RGB star
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.85,39.65,3500.0,VALID,36.13742501084005,412356.1774981991,22.099243748081783,0.057584089030128016,0.06078727096852004,18.0071,blind_harmonic_sum,0.804701,0.1650,0.0262,200,42,,tip-RGB star
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.85,39.65,3500.0,VALID,36.13742501084005,412356.1774981991,22.099243748081783,0.057584089030128016,0.06078727096852004,18.0071,oracle_single_freq,0.093194,0.9850,0.0086,200,42,,tip-RGB star
RGB,2000.0,100.0,20000000000.0,0.5,19.0,0.7,39.23,3500.0,VALID,35.717425010840046,412356.1774981991,22.17924374808178,0.05349368312233227,0.05657983967202322,18.0071,global_max,0.427687,0.2950,0.0322,200,42,,tip-RGB star
RGB,2000.0,100.0,20000000000.0,0.5,19.0,0.7,39.23,3500.0,VALID,35.717425010840046,412356.1774981991,22.17924374808178,0.05349368312233227,0.05657983967202322,18.0071,blind_harmonic_sum,0.804701,0.1300,0.0238,200,42,,tip-RGB star
RGB,2000.0,100.0,20000000000.0,0.5,19.0,0.7,39.23,3500.0,VALID,35.717425010840046,412356.1774981991,22.17924374808178,0.05349368312233227,0.05657983967202322,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,tip-RGB star
RGB,2000.0,100.0,20000000000.0,0.5,19.0,0.85,39.65,3500.0,VALID,36.13742501084005,412356.1774981991,22.599243748081783,0.0363331038987606,0.03874842793688737,18.0071,global_max,0.427687,0.0250,0.0110,200,42,,tip-RGB star
