source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note,source_label
VY,270000.0,1420.0,20000000000.0,0.0,19.0,0.1,35.0,3500.0,VALID,26.161590589602532,75475.84165861145,13.967070677857159,103.07936366019264,5.0434115707277964,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.0,19.0,0.1,35.0,3500.0,VALID,26.161590589602532,75475.84165861145,13.967070677857159,103.07936366019264,5.0434115707277964,18.0071,blind_harmonic_sum,0.804701,0.8950,0.0217,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.0,19.0,0.1,35.0,3500.0,VALID,26.161590589602532,75475.84165861145,13.967070677857159,103.07936366019264,5.0434115707277964,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.0,19.0,0.2,36.51,3500.0,VALID,27.67159058960253,75475.84165861145,15.477070677857157,25.654982860956284,3.564446019028793,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.0,19.0,0.2,36.51,3500.0,VALID,27.67159058960253,75475.84165861145,15.477070677857157,25.654982860956284,3.564446019028793,18.0071,blind_harmonic_sum,0.804701,0.8650,0.0242,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.0,19.0,0.2,36.51,3500.0,VALID,27.67159058960253,75475.84165861145,15.477070677857157,25.654982860956284,3.564446019028793,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.0,19.0,0.35,37.72,3500.0,VALID,28.88159058960253,75475.84165861145,16.687070677857157,8.417279121577488,2.4348136069891617,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.0,19.0,0.35,37.72,3500.0,VALID,28.88159058960253,75475.84165861145,16.687070677857157,8.417279121577488,2.4348136069891617,18.0071,blind_harmonic_sum,0.804701,0.8750,0.0234,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.0,19.0,0.35,37.72,3500.0,VALID,28.88159058960253,75475.84165861145,16.687070677857157,8.417279121577488,2.4348136069891617,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
VY,270000.0,1420.0,20000000000.0,0.0,19.0,0.7,39.23,3500.0,VALID,30.39159058960253,75475.84165861145,18.197070677857155,2.0949406741763745,1.2266308214963417,18.0071,global_max,0.427687,1.0000,0.0000,200,42,,VY CMa-like red hypergiant
