source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.1,35.0,3118.1455134911876,VALID,31.48742501084005,303962.00952271017,17.78037674331216,3.075029614572246,1.5253269231185629,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.1,35.0,3118.1455134911876,VALID,31.48742501084005,303962.00952271017,17.78037674331216,3.075029614572246,1.5253269231185629,18.0071,blind_harmonic_sum,0.804701,0.8900,0.0221,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.1,35.0,3118.1455134911876,VALID,31.48742501084005,303962.00952271017,17.78037674331216,3.075029614572246,1.5253269231185629,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.2,36.51,3118.1455134911876,VALID,32.99742501084005,303962.00952271017,19.29037674331216,0.7653309960163228,0.617065366754624,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.2,36.51,3118.1455134911876,VALID,32.99742501084005,303962.00952271017,19.29037674331216,0.7653309960163228,0.617065366754624,18.0071,blind_harmonic_sum,0.804701,0.8650,0.0242,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.2,36.51,3118.1455134911876,VALID,32.99742501084005,303962.00952271017,19.29037674331216,0.7653309960163228,0.617065366754624,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.35,37.72,3118.1455134911876,VALID,34.20742501084005,303962.00952271017,20.50037674331216,0.2511014974665306,0.24323135976826987,18.0071,global_max,0.427687,0.9900,0.0070,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.35,37.72,3118.1455134911876,VALID,34.20742501084005,303962.00952271017,20.50037674331216,0.2511014974665306,0.24323135976826987,18.0071,blind_harmonic_sum,0.804701,0.7900,0.0288,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.35,37.72,3118.1455134911876,VALID,34.20742501084005,303962.00952271017,20.50037674331216,0.2511014974665306,0.24323135976826987,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,21.270376743312163,0.12355186422234837,0.1264828116602179,18.0071,global_max,0.427687,0.9450,0.0161,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,21.270376743312163,0.12355186422234837,0.1264828116602179,18.0071,blind_harmonic_sum,0.804701,0.5200,0.0353,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,21.270376743312163,0.12355186422234837,0.1264828116602179,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.1,35.0,3118.1455134911876,VALID,31.48742501084005,303962.00952271017,18.28037674331216,1.9402125198084565,1.1709468063402775,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.1,35.0,3118.1455134911876,VALID,31.48742501084005,303962.00952271017,18.28037674331216,1.9402125198084565,1.1709468063402775,18.0071,blind_harmonic_sum,0.804701,0.8900,0.0221,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.1,35.0,3118.1455134911876,VALID,31.48742501084005,303962.00952271017,18.28037674331216,1.9402125198084565,1.1709468063402775,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.2,36.51,3118.1455134911876,VALID,32.99742501084005,303962.00952271017,19.79037674331216,0.4828912128948404,0.4277732292694786,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.2,36.51,3118.1455134911876,VALID,32.99742501084005,303962.00952271017,19.79037674331216,0.4828912128948404,0.4277732292694786,18.0071,blind_harmonic_sum,0.804701,0.8700,0.0238,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.2,36.51,3118.1455134911876,VALID,32.99742501084005,303962.00952271017,19.79037674331216,0.4828912128948404,0.4277732292694786,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
