source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note,source_label
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.1,35.0,3500.0,VALID,31.384436926598024,336324.7114603809,17.56753998090581,3.7409681236153456,1.6896675882633807,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.1,35.0,3500.0,VALID,31.384436926598024,336324.7114603809,17.56753998090581,3.7409681236153456,1.6896675882633807,18.0071,blind_harmonic_sum,0.804701,0.8900,0.0221,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.1,35.0,3500.0,VALID,31.384436926598024,336324.7114603809,17.56753998090581,3.7409681236153456,1.6896675882633807,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.2,36.51,3500.0,VALID,32.89443692659802,336324.7114603809,19.077539980905804,0.9310735891921242,0.7144970603820793,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.2,36.51,3500.0,VALID,32.89443692659802,336324.7114603809,19.077539980905804,0.9310735891921242,0.7144970603820793,18.0071,blind_harmonic_sum,0.804701,0.8650,0.0242,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.2,36.51,3500.0,VALID,32.89443692659802,336324.7114603809,19.077539980905804,0.9310735891921242,0.7144970603820793,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.35,37.72,3500.0,VALID,34.10443692659803,336324.7114603809,20.287539980905812,0.3054808621558715,0.28942627404156435,18.0071,global_max,0.427687,0.9900,0.0070,200,42,,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.35,37.72,3500.0,VALID,34.10443692659803,336324.7114603809,20.287539980905812,0.3054808621558715,0.28942627404156435,18.0071,blind_harmonic_sum,0.804701,0.8350,0.0262,200,42,,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.35,37.72,3500.0,VALID,34.10443692659803,336324.7114603809,20.287539980905812,0.3054808621558715,0.28942627404156435,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.5,38.49,3500.0,VALID,34.87443692659802,336324.7114603809,21.05753998090581,0.15030866157474487,0.15203597486729287,18.0071,global_max,0.427687,0.9750,0.0110,200,42,,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.5,38.49,3500.0,VALID,34.87443692659802,336324.7114603809,21.05753998090581,0.15030866157474487,0.15203597486729287,18.0071,blind_harmonic_sum,0.804701,0.5950,0.0347,200,42,,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.5,38.49,3500.0,VALID,34.87443692659802,336324.7114603809,21.05753998090581,0.15030866157474487,0.15203597486729287,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.7,39.23,3500.0,VALID,35.61443692659802,336324.7114603809,21.797539980905803,0.07602982793718616,0.07956077574455628,18.0071,global_max,0.427687,0.7250,0.0316,200,42,,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.7,39.23,3500.0,VALID,35.61443692659802,336324.7114603809,21.797539980905803,0.07602982793718616,0.07956077574455628,18.0071,blind_harmonic_sum,0.804701,0.3200,0.0330,200,42,,"tip-RGB, MIST v1.2 isochrone-anchored"
RGBiso,2199.0,137.5,20000000000.0,0.0,19.0,0.7,39.23,3500.0,VALID,35.61443692659802,336324.7114603809,21.797539980905803,0.07602982793718616,0.07956077574455628,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,,"tip-RGB, MIST v1.2 isochrone-anchored"
