comparison,template,detector,x_label,x_value,A_mag,recovery_fraction,binom_se,n_inj,seed,threshold,P_inject_days,fwhm_days
amplitude_sweep,gaussian,global_max,A_mag,0.020000,0.020000,0.0150,0.0086,200,42,0.427687,18.0071,4.0
amplitude_sweep,gaussian,global_max,A_mag,0.034899,0.034899,0.0350,0.0130,200,42,0.427687,18.0071,4.0
amplitude_sweep,gaussian,global_max,A_mag,0.060898,0.060898,0.3600,0.0339,200,42,0.427687,18.0071,4.0
amplitude_sweep,gaussian,global_max,A_mag,0.106266,0.106266,0.8850,0.0226,200,42,0.427687,18.0071,4.0
amplitude_sweep,gaussian,global_max,A_mag,0.185431,0.185431,0.9750,0.0110,200,42,0.427687,18.0071,4.0
amplitude_sweep,gaussian,global_max,A_mag,0.323571,0.323571,1.0000,0.0000,200,42,0.427687,18.0071,4.0
amplitude_sweep,gaussian,global_max,A_mag,0.564622,0.564622,1.0000,0.0000,200,42,0.427687,18.0071,4.0
amplitude_sweep,gaussian,global_max,A_mag,0.985248,0.985248,1.0000,0.0000,200,42,0.427687,18.0071,4.0
amplitude_sweep,gaussian,global_max,A_mag,1.719227,1.719227,1.0000,0.0000,200,42,0.427687,18.0071,4.0
amplitude_sweep,gaussian,global_max,A_mag,3.000000,3.000000,1.0000,0.0000,200,42,0.427687,18.0071,4.0
amplitude_sweep,gaussian,oracle_single_freq,A_mag,0.020000,0.020000,0.5150,0.0353,200,42,,18.0071,4.0
amplitude_sweep,gaussian,oracle_single_freq,A_mag,0.034899,0.034899,0.9300,0.0180,200,42,,18.0071,4.0
amplitude_sweep,gaussian,oracle_single_freq,A_mag,0.060898,0.060898,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,gaussian,oracle_single_freq,A_mag,0.106266,0.106266,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,gaussian,oracle_single_freq,A_mag,0.185431,0.185431,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,gaussian,oracle_single_freq,A_mag,0.323571,0.323571,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,gaussian,oracle_single_freq,A_mag,0.564622,0.564622,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,gaussian,oracle_single_freq,A_mag,0.985248,0.985248,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,gaussian,oracle_single_freq,A_mag,1.719227,1.719227,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,gaussian,oracle_single_freq,A_mag,3.000000,3.000000,1.0000,0.0000,200,42,,18.0071,4.0
amplitude_sweep,gaussian,blind_harmonic_sum,A_mag,0.020000,0.020000,0.0100,0.0070,200,42,0.804701,18.0071,4.0
amplitude_sweep,gaussian,blind_harmonic_sum,A_mag,0.034899,0.034899,0.0250,0.0110,200,42,0.804701,18.0071,4.0
