detector,floor_mag,D_L_Gpc,DM,A_V,m_nuc,M_total_Msun,L_min_Lsun,R_at_Lmin_Rsun,Sigma_detectable_per_pc2,column_Msun_per_pc2
global_max,0.07,0.1,35.0,0.0,19.0,20000000000.0,2.21088,1.54208,2.47553,230.773
global_max,0.07,0.2,36.51,0.0,19.0,20000000000.0,24.3587,7.458,0.362767,230.773
global_max,0.07,0.35,37.72,0.0,19.0,20000000000.0,143.489,20.8828,0.0523595,230.773
global_max,0.07,0.5,38.49,0.0,19.0,20000000000.0,514.963,50.7721,0.0137951,230.773
global_max,0.07,0.7,39.23,0.0,19.0,20000000000.0,1846.51,130.216,0.00190842,230.773
global_max,0.07,0.85,39.65,0.0,19.0,20000000000.0,3852.75,221.943,2.26816e-05,230.773
global_max,0.07,1.0,40.0,0.0,19.0,20000000000.0,6459.84,300.744,0,230.773
global_max,0.07,2.0,41.51,0.0,19.0,20000000000.0,nan,,,230.773
global_max,0.07,2.9,42.31,0.0,19.0,20000000000.0,nan,,,230.773
global_max,0.07,0.1,35.0,0.5,19.0,20000000000.0,5.61013,3.21733,0.687924,230.773
global_max,0.07,0.2,36.51,0.5,19.0,20000000000.0,48.4836,10.6471,0.262599,230.773
global_max,0.07,0.35,37.72,0.5,19.0,20000000000.0,327.649,36.9447,0.0218824,230.773
global_max,0.07,0.5,38.49,0.5,19.0,20000000000.0,1211.81,94.1652,0.00492962,230.773
global_max,0.07,0.7,39.23,0.5,19.0,20000000000.0,4342.41,238.037,1.16312e-05,230.773
global_max,0.07,0.85,39.65,0.5,19.0,20000000000.0,7416.89,300.744,0,230.773
global_max,0.07,1.0,40.0,0.5,19.0,20000000000.0,nan,,,230.773
global_max,0.07,2.0,41.51,0.5,19.0,20000000000.0,nan,,,230.773
global_max,0.07,2.9,42.31,0.5,19.0,20000000000.0,nan,,,230.773
global_max,0.07,0.1,35.0,1.0,19.0,20000000000.0,11.5023,4.81061,0.484671,230.773
global_max,0.07,0.2,36.51,1.0,19.0,20000000000.0,101.669,16.4895,0.0654552,230.773
global_max,0.07,0.35,37.72,1.0,19.0,20000000000.0,762.152,67.1843,0.00943596,230.773
global_max,0.07,0.5,38.49,1.0,19.0,20000000000.0,2880.32,176.173,0.000151654,230.773
global_max,0.07,0.7,39.23,1.0,19.0,20000000000.0,7984.02,300.744,0,230.773
global_max,0.07,0.85,39.65,1.0,19.0,20000000000.0,nan,,,230.773
global_max,0.07,1.0,40.0,1.0,19.0,20000000000.0,nan,,,230.773
global_max,0.07,2.0,41.51,1.0,19.0,20000000000.0,nan,,,230.773
global_max,0.07,2.9,42.31,1.0,19.0,20000000000.0,nan,,,230.773
global_max,0.07,0.1,35.0,2.0,19.0,20000000000.0,48.3345,10.7495,0.262599,230.773
global_max,0.07,0.2,36.51,2.0,19.0,20000000000.0,536.443,52.5721,0.0136292,230.773
global_max,0.07,0.35,37.72,2.0,19.0,20000000000.0,4320.59,240.031,1.34463e-05,230.773
global_max,0.07,0.5,38.49,2.0,19.0,20000000000.0,nan,,,230.773
global_max,0.07,0.7,39.23,2.0,19.0,20000000000.0,nan,,,230.773
global_max,0.07,0.85,39.65,2.0,19.0,20000000000.0,nan,,,230.773
global_max,0.07,1.0,40.0,2.0,19.0,20000000000.0,nan,,,230.773
global_max,0.07,2.0,41.51,2.0,19.0,20000000000.0,nan,,,230.773
global_max,0.07,2.9,42.31,2.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,0.1,35.0,0.0,19.0,20000000000.0,7.02489,3.645,0.613183,230.773
blind_harmonic_sum,0.125,0.2,36.51,0.0,19.0,20000000000.0,57.6438,11.1237,0.109265,230.773
blind_harmonic_sum,0.125,0.35,37.72,0.0,19.0,20000000000.0,433.599,45.634,0.0167602,230.773
blind_harmonic_sum,0.125,0.5,38.49,0.0,19.0,20000000000.0,1599.93,116.075,0.00282281,230.773
blind_harmonic_sum,0.125,0.7,39.23,0.0,19.0,20000000000.0,5657.64,287.455,7.60459e-07,230.773
blind_harmonic_sum,0.125,0.85,39.65,0.0,19.0,20000000000.0,8574.29,300.744,0,230.773
blind_harmonic_sum,0.125,1.0,40.0,0.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,2.0,41.51,0.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,2.9,42.31,0.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,0.1,35.0,0.5,19.0,20000000000.0,14.47,5.48977,0.432483,230.773
blind_harmonic_sum,0.125,0.2,36.51,0.5,19.0,20000000000.0,131.699,19.6979,0.0563458,230.773
blind_harmonic_sum,0.125,0.35,37.72,0.5,19.0,20000000000.0,1006.37,83.2561,0.00661501,230.773
blind_harmonic_sum,0.125,0.5,38.49,0.5,19.0,20000000000.0,3848.38,222.37,2.26816e-05,230.773
blind_harmonic_sum,0.125,0.7,39.23,0.5,19.0,20000000000.0,9229.92,300.744,0,230.773
blind_harmonic_sum,0.125,0.85,39.65,0.5,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,1.0,40.0,0.5,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,2.0,41.51,0.5,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,2.9,42.31,0.5,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,0.1,35.0,1.0,19.0,20000000000.0,30.3664,8.51262,0.333162,230.773
blind_harmonic_sum,0.125,0.2,36.51,1.0,19.0,20000000000.0,306.373,35.8802,0.0238246,230.773
blind_harmonic_sum,0.125,0.35,37.72,1.0,19.0,20000000000.0,2400.41,157.327,0.000398427,230.773
blind_harmonic_sum,0.125,0.5,38.49,1.0,19.0,20000000000.0,7399.43,300.744,0,230.773
blind_harmonic_sum,0.125,0.7,39.23,1.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,0.85,39.65,1.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,1.0,40.0,1.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,2.0,41.51,1.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,2.9,42.31,1.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,0.1,35.0,2.0,19.0,20000000000.0,129.561,19.4789,0.0579878,230.773
blind_harmonic_sum,0.125,0.2,36.51,2.0,19.0,20000000000.0,1611.4,113.855,0.00256026,230.773
blind_harmonic_sum,0.125,0.35,37.72,2.0,19.0,20000000000.0,9145.3,300.744,0,230.773
blind_harmonic_sum,0.125,0.5,38.49,2.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,0.7,39.23,2.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,0.85,39.65,2.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,1.0,40.0,2.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,2.0,41.51,2.0,19.0,20000000000.0,nan,,,230.773
blind_harmonic_sum,0.125,2.9,42.31,2.0,19.0,20000000000.0,nan,,,230.773
